,shap_Count,shap_Zip Code,shap_Latitude,shap_Longitude,shap_Gender,shap_Partner,shap_Dependents,shap_Tenure Months,shap_Phone Service,shap_Multiple Lines,shap_Online Security,shap_Online Backup,shap_Device Protection,shap_Tech Support,shap_Streaming TV,shap_Streaming Movies,shap_Paperless Billing,shap_Monthly Charges,shap_Total Charges,shap_Churn Value,shap_Churn Score,shap_CLTV,shap_Internet Service_Fiber optic,shap_Internet Service_No,shap_Contract_One year,shap_Contract_Two year,shap_Payment Method_Credit card (automatic),shap_Payment Method_Electronic check,shap_Payment Method_Mailed check,churn_probability,actual_churn
2196,0.0,-0.00079777424,-0.0005061538,0.00031748385,0.0017044074,0.0,0.016247168,-0.07118609,-0.0007655359,0.0,0.0,-0.0017611181,0.0,-1.7066921e-05,0.0008375187,0.004118504,0.0012288322,0.0378742,-0.05091592,-7.3221984,-1.07874,-0.0029320368,0.03490247,0.003064663,0.014354129,-0.29312435,0.0,-0.012419972,7.429773e-05,0.00016168712,0
3549,0.0,-0.0014947804,-0.00014784047,-0.00042722706,-0.00023700944,0.0,0.021007292,0.06750871,-0.0009009461,0.0,0.0,0.0010239165,0.0,-6.7109086e-06,0.0006054541,0.005882155,0.0031309682,0.008323462,0.003481779,-7.3221984,-1.2643161,-0.0010038281,0.07315366,0.010408721,0.033607196,0.059918065,0.0,-0.012107736,0.00010529556,0.00024263086,0
3515,0.0,-0.00062086206,-4.1892097e-05,-0.0004520395,-0.00023700944,0.0,0.01434173,-0.06609222,-0.0013418437,0.0,0.0,-0.0018601599,0.0,9.184287e-06,0.0006756522,-0.041658167,0.0021125483,0.0023532328,-0.012748513,-7.3221984,-1.1145254,-0.0014394271,-0.06385084,0.0033512304,-0.12451448,0.03324739,0.0,-0.018479442,7.3399715e-05,0.00016278126,0
5162,0.0,-0.0013359768,-0.00015809629,-0.0005896536,0.00015108708,0.0,0.027510673,-0.02878797,-0.0017273275,0.0,0.0,0.0055616572,0.0,-5.0525516e-05,-0.0013552798,-0.005169629,-0.016476713,0.010037119,-0.0070615527,-7.3221984,0.3223858,-0.0020376057,0.08253315,0.020409973,0.05093451,0.08694444,0.0,0.051607065,0.00010529556,0.0011838429,0
4642,0.0,-0.00043622233,-0.0009960865,0.0001944552,-0.0010322913,0.0,0.011259515,-0.07331915,-0.0017001778,0.0,0.0,-0.0017611181,0.0,2.9283974e-05,0.0004687383,0.004904179,0.0013515862,-0.011903223,-0.0074520004,-7.3221984,-1.032327,-0.0053345533,-0.049509767,0.0029442774,0.011246845,-0.26474127,0.0,-0.015319643,7.429773e-05,0.0001561398,0
6096,0.0,-0.0013725894,-0.00014784047,-0.00042722706,-0.00023700944,0.0,0.028611436,-0.028138964,-0.0010804936,0.0,0.0,-0.008761319,0.0,6.8798495e-06,0.0006054541,0.0061026327,0.00525405,0.021507407,-0.0071078325,-7.3221984,0.2679816,-0.0020307892,0.09868754,0.018874668,0.041450825,0.08885073,0.0,-0.03149101,0.00010529556,0.0010753947,0
4504,0.0,-0.0036140254,-2.8999733e-05,0.0003450843,-0.00023700944,0.0,0.018389001,-0.03486047,-0.00093164144,0.0,0.0,-0.002729918,0.0,-6.7109086e-06,0.0006054541,0.005397755,0.0035715234,0.008344686,-0.0059971297,-7.3221984,-1.2297828,-0.0010277466,0.06253012,0.0056554424,0.030439734,0.05357016,0.0,-0.011818587,0.00010529556,0.00021745007,0
4067,0.0,-0.008336235,-0.0001267137,-0.0034066816,9.9453115e-05,0.0,-0.09810699,-0.05091368,-0.0040492923,0.0,0.0,0.0007913144,0.0,9.184287e-06,-0.0008189188,-0.0032067653,0.0022947036,-0.033351604,0.0017732542,-7.3221984,-1.1059475,-0.001530299,-0.0487254,-0.03348044,0.026843268,0.03786291,0.0,-0.014476309,0.0006000288,0.00017206861,0
6233,0.0,-0.004233453,-0.00062298396,-0.0013725678,-0.00046696758,0.0,-0.0673026,-0.06265446,-0.0022504567,0.0,0.0,0.0006874662,0.0,2.9283974e-05,-0.001085658,-0.003177539,-0.002553733,-0.023038179,-0.006751441,-7.3221984,-1.0085691,0.008312358,-0.035992555,-0.018507008,0.014883925,-0.21008983,0.0,-0.01598076,0.000294285,0.00015503795,0
430,0.0,-0.00051790586,-0.00015809629,-0.0005896536,0.00015108708,0.0,0.023286628,0.01763367,-0.004497178,0.0,0.0,0.0055616572,0.0,5.1797448e-05,-0.00096370745,-0.0056100823,0.0043150047,0.0076423907,0.00582582,7.327141,0.21824586,-0.0022079775,-0.12275992,0.020222504,0.037519313,0.07192239,0.0,0.070188716,0.00010529556,0.99953055,1
